Column 1,Column 2,Quality,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.70,0.67,0.65,0.66,0.71,0.65,0.67,0.63,0.58,0.57,0.56,0.55
,Bramley’s Seedling,2nd,£/kg,0.47,0.46,0.42,0.44,0.44,0.42,0.42,0.43,0.43,0.40,0.39,0.38
,Bramley’s Seedling,Ave,£/kg,0.64,0.62,0.59,0.60,0.64,0.57,0.60,0.59,0.56,0.54,0.53,0.53
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.73,0.83,0.82,0.85,0.64,,,0.91,0.74,0.60,0.59,0.61
,Cox’s Orange-group,2nd,£/kg,0.48,0.53,0.56,0.51,,,,,0.56,0.41,0.36,0.39
,Cox’s Orange-group,Ave,£/kg,0.68,0.77,0.77,0.81,,,,,0.72,0.55,0.53,0.56
,Discovery,1st,£/kg,,,,,,,0.86,0.61,0.53,,,
,Discovery,2nd,£/kg,,,,,,,,0.38,0.42,,,
,Discovery,Ave,£/kg,,,,,,,,0.56,0.51,,,
,Egremont Russet,1st,£/kg,0.77,0.75,0.86,0.78,,,,1.01,0.78,0.64,0.70,0.73
,Egremont Russet,2nd,£/kg,0.53,0.57,0.61,0.63,,,,,0.54,0.45,0.51,0.50
,Egremont Russet,Ave,£/kg,0.73,0.73,0.83,0.74,,,,,0.76,0.61,0.68,0.71
,Spartan,1st,£/kg,,,,,,,,,0.66,0.56,0.53,
,Spartan,2nd,£/kg,,,,,,,,,,0.46,0.48,
,Spartan,Ave,£/kg,,,,,,,,,,0.55,0.53,
,Worcester Pearmain,1st,£/kg,,,,,,,,0.57,0.50,,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.40,0.37,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.50,0.37,,
,Red Pippin,1st,£/kg,,,,,,,,,0.53,,,
,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,Gala,1st,£/kg,0.69,0.88,0.76,0.91,0.50,,,,0.62,0.61,0.58,0.52
,Gala,2nd,£/kg,0.45,0.55,,,,,,,,0.48,0.46,0.38
,Gala,Ave,£/kg,0.63,0.84,,,,,,,,0.59,0.57,0.50
,Other Early Season,-,£/kg,,,,,,,,0.59,0.53,0.48,0.44,
,Other Mid Season,-,£/kg,,,,,,,,,0.51,0.50,0.51,0.54
,Other Late Season,-,£/kg,0.64,0.67,0.61,0.59,0.56,,,,,0.51,0.50,0.55
,Jonogold – group,1st,£/kg,,0.60,0.66,0.62,0.58,,,,,0.59,0.48,0.42
,Jonogold – group,2nd,£/kg,,,,,,,,,,0.46,0.46,
,Jonogold – group,Ave,£/kg,,,,,,,,,,0.57,0.47,0.42
(new item at the start of 2007),Red,2nd,£/kg,0.24,0.26,0.28,0.26,0.29,0.26,0.18,0.34,0.35,,,
,Red,Ave,£/kg,0.33,0.34,0.35,0.33,0.34,0.35,0.34,0.39,0.37,0.32,0.31,0.33
(new item at the start of 2007),Leaf - Loose/bunches,2nd,£/kg,,,,0.36,0.41,0.45,0.38,0.38,0.37,,,
,Leaf - Loose/bunches,Ave,£/kg,,,,0.52,0.60,0.55,0.55,0.53,0.49,0.56,0.56,0.49
