Column 1,year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,2012,Cox’s Orange-group,2nd,£/kg,0.44,0.47,0.47,0.49,,,,,0.65,0.50,0.41,0.54
,2012,Cox’s Orange-group,Ave,£/kg,0.71,0.75,0.80,0.84,0.86,,,,0.98,0.88,0.77,0.87
,2012,Discovery,1st,£/kg,,,,,,,,0.91,0.67,,,
,2012,Discovery,2nd,£/kg,,,,,,,,0.67,0.55,,,
,2012,Discovery,Ave,£/kg,,,,,,,,0.90,0.66,,,
,2012,Egremont Russet,1st,£/kg,0.75,0.88,0.97,,,,,,0.95,0.87,0.85,0.89
,2012,Egremont Russet,2nd,£/kg,0.49,,,,,,,,,0.61,0.44,0.66
,2012,Egremont Russet,Ave,£/kg,0.71,0.88,0.97,,,,,,0.95,0.87,0.84,0.88
,2012,Spartan,1st,£/kg,,,,,,,,,,1.06,0.86,
,2012,Spartan,2nd,£/kg,0.40,,,,,,,,,0.51,,
,2012,Spartan,Ave,£/kg,0.40,,,,,,,,,0.79,0.86,
,2012,Worcester Pearmain,1st,£/kg,,,,,,,,0.66,0.78,0.65,,
,2012,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.66,,,
,2012,Worcester Pearmain,Ave,£/kg,,,,,,,,0.66,0.78,0.65,,
,2012,Red Pippin,1st,£/kg,,,,,,,,,,0.61,0.69,
,2012,Red Pippin,2nd,£/kg,,,,,,,,,,0.83,,
,2012,Red Pippin,Ave,£/kg,,,,,,,,,,0.70,0.69,
,2012,Gala,1st,£/kg,0.69,0.68,0.73,0.81,0.74,,,,0.79,0.83,0.76,0.81
,2012,Gala,2nd,£/kg,0.40,0.53,0.60,0.66,,,,,,0.64,0.42,0.49
,2012,Gala,Ave,£/kg,0.68,0.68,0.73,0.81,0.74,,,,0.79,0.81,0.72,0.79
,2012,Other Early Season,-,£/kg,,,,0.93,,,,,0.73,0.81,0.82,
,2012,Other Mid Season,-,£/kg,0.59,0.53,0.77,0.72,,,,,,0.60,0.63,0.71
